Type of Disaster,Number,Event,Period,Compiled using preliminary data,Begin Date,End Date,Summary,CPI-AdjustedEstimatedCost(inBillions),More than $1B after CPI adjustment,Deaths
Flooding,583,Midwest Flooding,Summer 1993,,27 06 1993,15 08 1993,"Severe, widespread flooding in central U.S. due to persistent heavy rains and thunderstorms. There was extensive damage to agriculture, infrastructure, homes and businesses in many areas across several states. Many river stations also established new records for historical flood heights. This is the most costly non-tropical, inland flood event to affect the United States on record.",$40.90,,48
Severe Weather,586,Northern Plains and Ohio Valley Severe Weather, Jul 1993,,8 07 1993,10 07 1993,"Severe storms caused high wind, hail and tornado damage across many Northern/Central Plains (NE, KS, MO, IA, MN, ND) and Ohio Valley states (IL, IN).",$1.20,Y,1
Winter Storm,589,East Coast Blizzard and Severe Weather, Mar 1993,,11 03 1993,14 03 1993,"The ""Storm of the Century"" impacts the entire Eastern seaboard from Florida to Maine. This historic storm dumped 2-4 feet of snow and caused hurricane force winds across many Eastern and Northeastern states. This caused power outages to over 10 million households. Additional impacts included numerous tornadoes across Florida causing substantial damage. This was the most destructive and costly winter storm to affect the United States (since 1980), until it was surpassed by the February 2021 winter storm and cold wave.",$10.80,,270
Winter Storm,592,Northeast Winter Storm, Dec 1992,,10 12 1992,13 12 1992,"Slow-moving winter storm batters northeast U.S. coast, with the New England region hardest hit. The states impacted include VA, MD, DE, PA, NJ, NY, CT, RI, MA and WV.",$5.00,,19
Severe Weather,595,Southeast Severe Weather, Nov 1992,,21 11 1992,23 11 1992,"Three-day tornado outbreak strikes many Central and Eastern states including TX, LA, AL, MS, GA, AR, IN, OH, KY, TN, and NC. Major damage was reported across many areas, as more than 100 tornadoes were reported. This event remains one of the most prolific Fall season tornado outbreaks on record.",$1.30,Y,26
Tropical Cyclone,598,Hurricane Iniki, Sep 1992,,11 09 1992,12 09 1992,Category 4 hurricane causes severe damage to the Hawaiian island of Kauai. Hurricane Iniki is the costliest and deadliest hurricane to affect Hawaii since 1900.,$6.20,,7
Tropical Cyclone,601,Hurricane Andrew, Aug 1992,,23 08 1992,27 08 1992,"Category 5 hurricane hits Florida and later impacts Louisiana as a category 3. High winds damage or destroy over 125,000 homes and leave at least 160,000 people homeless in Dade County, Florida alone. Initially rated as a category 4, Andrew was later upgraded to a category 5 upon further analysis. Andrew joins Hurricane Camille (1969) and the Labor Day Hurricane (1935), as the only land falling category 5 hurricanes on record to affect the U.S. mainland. Adjusted to present-day dollars, Andrew is the 6th most costly hurricane to impact the U.S. since 1980, after Katrina (2005), Harvey (2017), Maria (2017), Sandy (2012) and Irma (2017).",$54.30,,61
Severe Storm,604,"Severe Storms, Hail", Jun 1992,,19 06 1992,20 06 1992,Severe storms with hail hit Kansas and Oklahoma,$1.50,Y,0
Severe Storm,607,"Hail, Tornadoes", Apr 1992,,28 04 1992,29 04 1992,Severe Storms hit Oklahoma and Texas with tornadoes and hail,$1.90,,0
Severe Storm,610,Severe Storms, Mar 1992,,24 03 1992,25 03 1992,"Severe storms affect the South, Southeast. The states most impacted include Texas, Louisiana and Florida.",$1.60,Y,0
Wildfire,613,Oakland Firestorm, Oct 1991,,1 10 1991,31 10 1991,"Oakland, California firestorm due to low humidity and high winds burned over 3,000 homes. This was the costliest urban wildfire to affect the United States since 1980 when it occurred.",$6.80,,25
Drought,616,U.S. Drought,Spring-Summer 1991,,1 03 1991,31 08 1991,"Drought conditions over parts of the West, Central and eastern U.S. most affected the states IL, IN, KS, MN, OH, OR, PA, SD, and WA.",$6.20,,0
Tropical Cyclone,619,Hurricane Bob, Aug 1991,,18 08 1991,20 08 1991,Category 2 hurricane brushes the Outer Banks of North Carolina before making landfall in Rhode Island. Its impacts were felt from North Carolina to Long Island and into New England.,$3.10,,18
Severe Storm,622,"Severe Storms, Tornadoes", Mar 1991,,26 03 1991,29 03 1991,"Severe storms hit the Midwest, Southeast, Northeast. The states impacted include KS, IL, MI, IN, MS, TN, KY, OH, AL, PA, NY, GA, SC and NC.",$1.30,Y,0
Freeze,625,California Freeze, Dec 1990,,18 12 1990,25 12 1990,"Severe freeze in the Central and Southern San Joaquin Valley caused the loss of citrus, avocado trees, and other crops in many areas. Several days of subfreezing temperatures occurred, with some valley locations in the teens.",$7.40,,0
Severe Storm,628,Colorado Hail Storm, Jul 1990,,11 07 1990,11 07 1990,"Denver, CO (including airport) hit by severe hail storm. This was the costliest hail storm on record for Colorado when it occurred.",$1.80,Y,0
Flooding,631,Southern Flooding, May 1990,,11 05 1990,19 05 1990,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",$2.20,,13
Winter Storm,634,"Winter Storm, Cold Wave", Dec 1989,,21 12 1989,26 12 1989,"Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",$1.60,Y,100
Freeze,637,Florida Freeze, Dec 1989,,23 12 1989,25 12 1989,Severe freeze damages citrus crops across central/northern Florida.,$4.60,,10
Drought,640,Northern Plains Drought,Summer-Fall 1989,,1 06 1989,30 11 1989,"Severe summer drought over much of the northern plains with significant losses to agriculture. The states impacted include CO, IA, IL, KS, MO, ND, NE, NV, SD, TX and UT.",$6.90,,0
Tropical Cyclone,643,Hurricane Hugo, Sep 1989,,21 09 1989,22 09 1989,Category 4 hurricane devastates South and North Carolina with ~20 foot storm surge and severe wind damage after hitting Puerto Rico and the U.S. Virgin Islands,$20.70,,86
Severe Storm,646,Severe Storms, May 1989,,1 05 1989,6 05 1989,"Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",$1.30,Y,21
Drought,649,U.S. Drought/ Heat Wave,Summer 1988,,1 06 1988,31 08 1988,"1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",$48.00,,454
